eventid,region,attacktype1,targtype1,natlty1,weaptype1, 
201511190049 ,11,6,14,229,13,
201511190050 ,11,6,14,229,13,
201511190051 ,11,9,14,229,13,
201511190052 ,11,3,7,422,6,
201511190053 ,11,9,4,229,13,
201511200050 ,11,5,14,229,9,
201511200051 ,11,5,14,229,9,
201511210062 ,11,9,14,229,13,
201511210063 ,11,6,14,229,9,
201511220075 ,11,6,14,229,13,
201511240028 ,11,6,4,229,5,
201511290014 ,11,9,4,229,13,
201511290015 ,11,9,7,422,13,
201511290016 ,11,9,1,229,13,
201511290017 ,11,9,3,229,13,
201512070051 ,11,2,14,229,5,
201512130046 ,11,7,14,229,8,
201512170044 ,11,9,14,229,13,
201512220032 ,11,7,14,229,8,
201512240024 ,11,2,14,229,9,
201512240025 ,11,2,14,229,9,
201512240026 ,11,2,14,229,9,
201512250043 ,11,6,4,229,13,
201512260013 ,11,3,4,229,6,
201512270061 ,11,2,4,229,5,
201512270062 ,11,6,14,229,5,
201512290044 ,11,2,14,229,5,
201512300041 ,11,9,4,229,13,
201601070022 ,11,6,14,229,5,
201601110010 ,11,9,7,422,13,
201601130024 ,11,2,4,229,5,
201601130025 ,11,2,7,422,5,
201601200025 ,11,6,1,229,5,
201601220006 ,11,2,14,229,5,
201601230049 ,11,6,12,422,5,
201601260004 ,11,6,14,229,8,
201601300063 ,11,6,14,229,13,
201601310070 ,11,6,14,229,13,
201602010046 ,11,9,4,229,13,
201602010047 ,11,6,14,229,13,
201602020051 ,11,9,14,229,13,
201602060063 ,11,7,14,229,8,
201602060064 ,11,7,14,229,8,
201602100055 ,11,7,14,229,8,
201602100056 ,11,9,14,229,13,
201602120078 ,11,6,4,229,5,
201602120079 ,11,2,4,229,5,
201603030043 ,11,6,12,422,5,
201603040020 ,11,2,14,229,8,
201603040021 ,11,6,14,229,8,
201603090045 ,11,9,14,229,13,
201603120023 ,11,9,3,229,13,
201603120024 ,11,6,3,229,13,
201603120025 ,11,6,3,229,13,
201603120026 ,11,9,3,229,13,
201603140071 ,11,9,3,229,13,
201603150058 ,11,9,14,229,13,
201603200032 ,11,2,15,229,5,
201603210038 ,11,6,14,229,13,
201603210039 ,11,9,4,229,13,
201603220076 ,11,6,14,229,13,
201603220077 ,11,6,14,229,5,
201603220078 ,11,7,14,229,13,
201603230033 ,11,9,14,229,13,
201603230034 ,11,6,14,229,13,
201603230035 ,11,9,4,229,13,
201603240035 ,11,6,14,229,13,
201603240036 ,11,9,7,422,13,
201603250038 ,11,9,14,229,13,
201603250039 ,11,9,14,229,13,
201603260030 ,11,9,4,229,13,
201603260031 ,11,7,14,229,13,
201603260032 ,11,7,14,229,13,
201603260033 ,11,9,4,229,13,
201603260034 ,11,9,4,229,13,
201603270009 ,11,9,4,229,13,
201604020022 ,11,9,4,229,13,
201604150003 ,11,3,14,229,6,
201604170031 ,11,6,12,422,5,
201604200013 ,11,9,4,229,13,
201604200038 ,11,6,1,229,13,
201604210043 ,11,6,14,229,13,
201604290048 ,11,6,14,229,9,
201605020054 ,11,2,4,229,5,
201605030040 ,11,6,14,229,5,
201605030042 ,11,6,12,422,13,
201605030058 ,11,6,14,229,5,
201605070026 ,11,6,14,229,13,
201605070027 ,11,6,14,229,13,
201605080087 ,11,9,14,229,13,
201605080088 ,11,9,14,229,13,
201605090085 ,11,7,4,229,8,
201605150024 ,11,7,14,229,8,
201605150025 ,11,7,14,229,8,
201605170066 ,11,9,4,229,13,
201605210019 ,11,2,14,229,5,
201605230031 ,11,2,4,229,5,
201605230032 ,11,2,4,229,5,
201605250026 ,11,6,12,422,5,
201605250051 ,11,2,4,229,5,
201605280044 ,11,9,4,229,13,
201606040027 ,11,6,14,229,5,
201606040028 ,11,6,14,229,5,
