"","eventid","riskscore"
"880",199811230002,12.004859814
"881",199811230003,10.00048834
"882",199811240001,10.026210212
"883",199811240002,10.077409802
"884",199811240003,4
"885",199811250001,10.002197534
"886",199811250002,9.5
"887",199811260001,10
"888",199811260002,10.02572187
"889",199811270001,10.06369426
"890",199811270002,10.055838828
"891",199811270003,13
"892",199811270004,13
"893",199811270005,9.149207142
"894",199811280001,10.077409802
"895",199811280002,10.039437412
"896",199811290001,8.0641826
"897",199811290002,9.20406583
"898",199811300001,13
"899",199811300002,13
"900",199811300003,4.5
"901",199812010001,10.014692224
"902",199812020001,11
"903",199812020002,11.00048834
"904",199812020003,11
"905",199812020004,10
"906",199812020005,9.15286624
"907",199812030001,11.001121496
"908",199812030002,11
"909",199812030003,9.68420403
"910",199812040001,9.03821656
"911",199812060001,5.060722238
"912",199812060002,12.013044895
"913",199812080001,10.53503184
"914",199812100001,10.001220852
"915",199812160001,10.003662556
"916",199812160002,4.5
"917",199812180001,10.10064799
"918",199812180002,10
"919",199812180003,10
"920",199812180005,10
"921",199812200001,9.62738854
"922",199812200002,8.00048834
"923",199812220001,9.00048834
"924",199812240001,12.00048834
"925",199812240002,10.03084945
"926",199812260001,10.17834394
"927",199812260003,10
"928",199812270001,9.03821656
"929",199812270002,8.00024417
"930",199812280001,12.0446791
"931",199812290001,10.3821656
"932",199812290002,10
"933",199812290003,13
"934",199812290004,13
"935",199901000001,9.25477708
"936",199901010001,14.001953364
"937",199901010002,10.00048834
"938",199901020001,10.145457152
"939",199901020002,9.28025478
"940",199901030001,9.5
"941",199901030002,5.051687932
"942",199901040001,9.22266476
"943",199901040002,10.02572187
"944",199901040003,10.00048834
"945",199901050001,10.000976682
"946",199901050002,10.000732512
"947",199901050003,9.001236004
"948",199901050004,5.013959712
"949",199901050005,17.00048834
"950",199901050006,17
"951",199901050007,9.24814248
"952",199901060001,9.50024417
"953",199901060002,12.004116288
"954",199901060003,10.05095542
"955",199901080001,7.02596604
"956",199901080002,10.015180564
"957",199901080003,9.00048834
"958",199901080005,8
"959",199901080006,11.002779992
"960",199901100001,9.00024417
"961",199901110001,10
"962",199901110002,9.00024417
"963",199901110003,12.001121496
"964",199901120001,4.01298303
"965",199901120002,9.501709194
"966",199901120003,13
"967",199901120004,13
"968",199901120005,11.005186152
"969",199901130001,8.001709194
"970",199901140001,10
"971",199901140002,4
"972",199901150001,9.00048834
"973",199901150002,10
"974",199901170001,9.0254777
"975",199901170002,11.010905165
"976",199901190001,10.00024417
"977",199901190002,9.168535146
"978",199901200001,9.565159282
"979",199901210001,8.01273886
"980",199901230001,10.03821656
"981",199901230002,13
"982",199901230003,13
"983",199901230004,13
"984",199901230005,9.05095542
"985",199901230006,7.5
"986",199901230007,7.5
"987",199901240001,11.00651831
"988",199901250001,9.001220852
"989",199901250002,4
"990",199901250003,9.00024417
"991",199901250004,12.000747664
"992",199901260001,11.012937493
"993",199901280001,9.502685874
"994",199901280002,4
"995",199901290001,9.501709194
"996",199901300001,10.00024417
"997",199901310002,8.000373832
"998",199902010001,12.607144464
"999",199902020001,4
"1000",199902020002,9.01273886
"1001",199902020003,10
"1002",199902030001,10.002930046
"1003",199902040001,13
"1004",199902060001,10.03821656
"1005",199902080001,10
"1006",199902080002,4
"1007",199902080003,8.0641826
"1008",199902090002,12.000747664
"1009",199902090003,13.01273886
"1010",199902090004,11.000747664
"1011",199902100001,9.01273886
"1012",199902100002,11.001495328
"1013",199902110001,14
"1014",199902110002,9.641348232
"1015",199902110003,9.00024417
"1016",199902130001,9.61464968
"1017",199902130002,14.002930046
"1018",199902140001,13.029628598
"1019",199902140002,13.042611628
"1020",199902140003,11.001228896
"1021",199902160001,9.081316528
"1022",199902160002,13.04358831
"1023",199902160003,13.03084945
"1024",199902160004,13.03060528
"1025",199902160005,13.03060528
"1026",199902160006,13.03060528
"1027",199902160007,13.03060528
"1028",199902160008,12.001602728
"1029",199902160009,12.004485982
"1030",199902170001,12.001495328
"1031",199902170002,10.026210212
"1032",199902170003,12.000373832
"1033",199902170005,10.048715888
"1034",199902170006,9
"1035",199902180001,11.002616822
"1036",199902180002,11.086522824
"1037",199902190001,13.000747664
"1038",199902190002,8.03821656
"1039",199902200001,8.56369426
"1040",199902200002,10
"1041",199902200003,12.003364486
"1042",199902230001,10
"1043",199902230002,10
"1044",199902230003,9.01298303
"1045",199902230004,10.05632717
"1046",199902240001,4
"1047",199902240002,9.000732512
"1048",199902240003,9.05095542
"1049",199902240004,9.501220852
"1050",199902250001,12.043187912
"1051",199902260001,10
"1052",199902260002,4
"1053",199902280001,13.01298303
"1054",199902280002,13
"1055",199902280003,13
"1056",199902280004,13
"1057",199902280005,13
"1058",199902280006,12.144987194
"1059",199903010002,10
"1060",199903010003,5
"1061",199903010004,11.01273886
"1062",199903010005,11.01273886
"1063",199903010006,9.00048834
"1064",199903020001,6.013959712
"1065",199903020003,12.065189588
"1066",199903020004,12.026210212
"1067",199903020005,9.031028038
"1068",199903030001,9.05095542
"1069",199903030002,6.0641826
"1070",199903030003,13
"1071",199903030004,10.016645586
"1072",199903030005,11
"1073",199903030006,13
"1074",199903030007,11
"1075",199903030008,7
"1076",199903040001,10.013471372
"1077",199903040002,11
"1078",199903050001,9.014448054
"1079",199903050002,10.053397124
"1080",199903050003,9.186356195
"1081",199903050004,9.001465022
"1082",199903050005,9.00048834
"1083",199903060001,10
"1084",199903060002,10
"1085",199903060003,11
"1086",199903060004,11
"1087",199903060005,8.00024417
"1088",199903060006,13
"1089",199903060007,13.00024417
"1090",199903070001,10.138536384
"1091",199903070002,9
"1092",199903070004,15.001495328
